    SI_Points := data
    { 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12, 13, 14, 15, 16,
      17, 18, 19, 20 } ;
 
    SI_Classes := data { c1, c2 } ;
 
    SI_Dimensions := data { d1, d2 } ;
 
 
    PE_Class := data
    { 01 : c2,  02 : c1,  03 : c1,  04 : c2,  05 : c1,  06 : c2,
      07 : c1,  08 : c2,  09 : c1,  10 : c2,  11 : c1,  12 : c1,
      13 : c2,  14 : c1,  15 : c2,  16 : c1,  17 : c2,  18 : c2,
      19 : c2,  20 : c2 } ;
 
 
    PI_Point := data table
       d1     d2
 !  -----  -----
01         0.557
02  0.567  0.304
03  0.389  0.322
04  0.039  0.610
05  0.272  0.678
06  0.163  0.929
07  0.777  0.624
08  0.331  1.000
09  0.657  0.270
10  0.298  0.041
11  0.829  0.570
12  0.686  0.760
13  0.141  0.181
14  0.666  0.771
15  0.704  0.703
16  0.813  0.637
17  0.471  0.304
18  0.033  0.646
19  0.929  0.870
20  0.050  0.712
    ;
 
 
