    SI_Points := data
    { 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12, 13, 14, 15, 16,
      17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32,
      33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48,
      49, 50, 51 } ;
 
    SI_Classes := data { c1, c2 } ;
 
    SI_Dimensions := data { d1, d2 } ;
 
 
    PE_Class := data
    { 01 : c1,  02 : c1,  03 : c1,  04 : c2,  05 : c1,  06 : c2,
      07 : c2,  08 : c1,  09 : c2,  10 : c1,  11 : c2,  12 : c1,
      13 : c1,  14 : c1,  15 : c2,  16 : c1,  17 : c1,  18 : c2,
      19 : c1,  20 : c2,  21 : c2,  22 : c2,  23 : c2,  24 : c2,
      25 : c1,  26 : c1,  27 : c1,  28 : c2,  29 : c1,  30 : c1,
      31 : c1,  32 : c1,  33 : c2,  34 : c1,  35 : c2,  36 : c2,
      37 : c2,  38 : c2,  39 : c1,  40 : c1,  41 : c2,  42 : c2,
      43 : c2,  44 : c2,  45 : c2,  46 : c1,  47 : c1,  48 : c2,
      49 : c2,  50 : c1,  51 : c2 } ;
 
 
    PI_Point := data table
       d1     d2
 !  -----  -----
01  0.622  0.124
02  0.406  0.304
03  0.697  0.040
04  0.578  0.322
05  0.348  0.341
06  0.131  0.442
07  0.788  0.198
08  0.415  0.277
09  0.475  0.415
10  0.580  0.167
11  0.821  0.191
12  0.931  0.067
13  1.000  0.139
14  0.373  0.313
15  0.900  0.191
16  0.119  0.258
17  0.837
18  0.230  0.530
19  0.811  0.030
20  0.468  0.416
21  0.096  0.435
22  0.085  0.408
23  0.756  0.199
24  0.902  0.210
25  0.871  0.052
26  0.830  0.167
27  0.488  0.226
28  0.160  0.484
29  0.299  0.353
30  0.415  0.303
31  0.449  0.295
32  0.520  0.217
33  0.450  0.262
34  0.886  0.021
35  0.445  0.463
36  0.615  0.301
37  0.397  0.474
38  0.470  0.431
39  0.573  0.175
40  0.243  0.354
41  0.625  0.253
42  0.894  0.212
43  0.223  0.524
44  0.952  0.262
45  0.820  0.191
46  0.642  0.093
47  0.913  0.054
48  0.227  0.506
49  0.788  0.166
50  0.474  0.261
51  0.040  0.356
    ;
 
 
