    SI_Points := data
    { 01, 02, 03, 04, 05, 06, 07, 08, 09, 10, 11, 12, 13, 14, 15, 16,
      17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32,
      33, 34, 35, 36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47, 48,
      49, 50, 51 } ;
 
    SI_Classes := data { c1, c2, c3 } ;
 
    SI_Dimensions := data { d1, d2 } ;
 
 
    PE_Class := data
    { 01 : c3,  02 : c2,  03 : c3,  04 : c1,  05 : c2,  06 : c3,
      07 : c1,  08 : c3,  09 : c1,  10 : c1,  11 : c1,  12 : c2,
      13 : c3,  14 : c3,  15 : c1,  16 : c3,  17 : c3,  18 : c1,
      19 : c3,  20 : c1,  21 : c2,  22 : c2,  23 : c3,  24 : c3,
      25 : c3,  26 : c3,  27 : c2,  28 : c2,  29 : c1,  30 : c3,
      31 : c1,  32 : c2,  33 : c2,  34 : c2,  35 : c1,  36 : c3,
      37 : c2,  38 : c2,  39 : c1,  40 : c3,  41 : c2,  42 : c3,
      43 : c1,  44 : c1,  45 : c3,  46 : c1,  47 : c3,  48 : c2,
      49 : c2,  50 : c1,  51 : c1 } ;
 
 
    PI_Point := data table
       d1     d2
 !  -----  -----
01  0.858  0.332
02  0.784  0.179
03  0.159  0.614
04  0.002  0.177
05  0.473  0.390
06  0.506  0.507
07  0.347  0.294
08  0.802  0.344
09  0.196  0.312
10  0.031  0.222
11  0.207  0.317
12  0.210  0.466
13  0.185  0.653
14  0.071  0.588
15  0.512  0.182
16  0.628  0.230
17  0.415  0.590
18  0.139  0.301
19  0.114  0.625
20  0.435  0.555
21  0.440  0.398
22  0.760  0.157
23  0.831  0.341
24  0.401  0.603
25  0.008  0.498
26  0.381  0.606
27  0.780  0.156
28  0.380  0.267
29  0.130  0.259
30  0.072  0.567
31  0.194  0.332
32  0.848  0.173
33  0.349  0.467
34  0.890  0.195
35  0.507  0.179
36  0.686  0.370
37  0.465  0.373
38  0.282  0.513
39  0.108  0.274
40  1.000  0.459
41  0.604  0.228
42  0.367  0.644
43  0.837  0.009
44  0.272  0.312
45  0.125  0.616
46  0.726
47  0.676  0.382
48  0.672  0.200
49  0.384  0.457
50  0.338  0.322
51  0.839  0.013
    ;
 
 
